               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  59,              1.2233,              1.3604,              1.3998,             0.69946,             0.58099,             0.63743,             0.47567,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.2206,              1.3459,              1.3976,             0.69405,             0.58347,             0.63807,             0.47608,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.2187,              1.3463,               1.397,             0.69032,             0.58648,             0.63869,             0.47638,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.2155,              1.3387,              1.3946,             0.69449,             0.58605,             0.63918,             0.47682,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.2106,              1.3302,              1.3913,             0.69677,             0.58487,              0.6395,             0.47728,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.2111,              1.3207,              1.3912,             0.69635,             0.58479,             0.63972,             0.47747,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.2068,              1.3179,              1.3875,             0.69183,             0.58904,             0.64005,             0.47757,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.2026,              1.3074,              1.3855,             0.69297,             0.58839,              0.6405,             0.47784,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,               1.203,               1.312,              1.3877,             0.69106,             0.58921,             0.64087,             0.47808,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.2007,              1.3006,              1.3827,             0.69171,             0.58965,             0.64109,              0.4783,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.1966,              1.2897,              1.3801,             0.69406,             0.58832,             0.64157,              0.4786,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.1922,               1.289,              1.3809,             0.69552,             0.58818,             0.64178,             0.47887,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.1882,              1.2786,              1.3768,             0.68876,             0.59296,             0.64193,             0.47928,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.1844,              1.2742,              1.3761,             0.68878,              0.5928,             0.64196,             0.47961,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,               1.184,              1.2682,              1.3753,             0.68681,             0.59366,             0.64229,             0.47991,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
